# Total Phase Data Center(tm) v7.01
# (c) 2005-2021 Total Phase, Inc.
# www.totalphase.com
#
# 
#
# Level,Sp,Index,m:s.ms.us,Dur,Len,Err,Dev,Ep,Record,Summary
0,HS,61,0:13.648.742,660.870.500 ms,12 B,,48,02,IN txn   [5287 POLL],00 00 00 00 0F 00 00 00 00 00 00 00
1,HS,62,0:13.648.742,660.744.800 ms,,,48,02,   [5287 IN-NAK],
1,HS,63,0:14.309.611,66 ns,3 B,,48,02,   IN packet,69 30 51
1,HS,64,0:14.309.612,266 ns,15 B,,48,02,   DATA0 packet,C3 00 00 00 00 0F 00 00 00 00 00 00 00 DB BD
1,HS,65,0:14.309.613,33 ns,1 B,,48,02,   ACK packet,D2
0,HS,66,0:15.307.509,,,,,,Digital input,<Change on pins: 1; New Value = 0x0 (0000b)>
0,HS,67,0:14.309.747,997.873.333 ms,12 B,,48,02,IN txn   [7983 POLL],80 00 00 00 0F 00 00 00 00 00 00 00
1,HS,68,0:14.309.747,997.747.633 ms,,,48,02,   [7983 IN-NAK],
1,HS,69,0:15.307.619,66 ns,3 B,,48,02,   IN packet,69 30 51
1,HS,70,0:15.307.620,266 ns,15 B,,48,02,   DATA1 packet,4B 80 00 00 00 0F 00 00 00 00 00 00 00 D9 C3
1,HS,71,0:15.307.620,33 ns,1 B,,48,02,   ACK packet,D2
0,HS,72,0:16.107.514,,,,,,Digital input,<Change on pins: 1; New Value = 0x1 (0001b)>
0,HS,73,0:15.307.755,799.871.833 ms,12 B,,48,02,IN txn   [6399 POLL],00 00 00 00 0F 00 00 00 00 00 00 00
1,HS,74,0:15.307.755,799.746.133 ms,,,48,02,   [6399 IN-NAK],
1,HS,75,0:16.107.625,83 ns,3 B,,48,02,   IN packet,69 30 51
1,HS,76,0:16.107.626,283 ns,15 B,,48,02,   DATA0 packet,C3 00 00 00 00 0F 00 00 00 00 00 00 00 DB BD
1,HS,77,0:16.107.626,50 ns,1 B,,48,02,   ACK packet,D2
0,HS,78,0:17.031.520,,,,,,Digital input,<Change on pins: 1; New Value = 0x0 (0000b)>
0,HS,79,0:16.107.762,923.872.016 ms,12 B,,48,02,IN txn   [7391 POLL],80 00 00 00 0F 00 00 00 00 00 00 00
1,HS,80,0:16.107.762,923.746.300 ms,,,48,02,   [7391 IN-NAK],
1,HS,81,0:17.031.632,83 ns,3 B,,48,02,   IN packet,69 30 51
1,HS,82,0:17.031.633,266 ns,15 B,,48,02,   DATA1 packet,4B 80 00 00 00 0F 00 00 00 00 00 00 00 D9 C3
1,HS,83,0:17.031.634,50 ns,1 B,,48,02,   ACK packet,D2
0,HS,84,0:17.753.524,,,,,,Digital input,<Change on pins: 1; New Value = 0x1 (0001b)>
0,HS,85,0:17.031.767,721.872.233 ms,12 B,,48,02,IN txn   [5775 POLL],00 00 00 00 0F 00 00 00 00 00 00 00
1,HS,86,0:17.031.767,721.746.533 ms,,,48,02,   [5775 IN-NAK],
