# Total Phase Data Center(tm) v7.01
# (c) 2005-2021 Total Phase, Inc.
# www.totalphase.com
#
# 
#
# Level,Sp,Index,m:s.ms.us,Dur,Len,Err,Dev,Ep,Record,Summary
0,HS,1753,3:29.971.877,581.869.416 ms,12 B,,48,02,IN txn   [4655 POLL],00 00 00 00 0F 00 00 00 00 00 00 00
1,HS,1754,3:29.971.877,581.743.716 ms,,,48,02,   [4655 IN-NAK],
1,HS,1755,3:30.553.745,66 ns,3 B,,48,02,   IN packet,69 30 51
1,HS,1756,3:30.553.746,266 ns,15 B,,48,02,   DATA0 packet,C3 00 00 00 00 0F 00 00 00 00 00 00 00 DB BD
1,HS,1757,3:30.553.746,33 ns,1 B,,48,02,   ACK packet,D2
0,HS,1758,3:31.018.710,,,,,,Digital input,<Change on pins: 1; New Value = 0x0 (0000b)>
0,HS,1759,3:30.553.882,464.867.983 ms,12 B,,48,02,IN txn   [3719 POLL],80 00 00 00 0F 00 00 00 00 00 00 00
1,HS,1760,3:30.553.882,464.742.283 ms,,,48,02,   [3719 IN-NAK],
1,HS,1761,3:31.018.748,66 ns,3 B,,48,02,   IN packet,69 30 51
1,HS,1762,3:31.018.749,283 ns,15 B,,48,02,   DATA1 packet,4B 80 00 00 00 0F 00 00 00 00 00 00 00 D9 C3
1,HS,1763,3:31.018.749,33 ns,1 B,,48,02,   ACK packet,D2
0,HS,1764,3:31.990.715,,,,,,Digital input,<Change on pins: 1; New Value = 0x1 (0001b)>
0,HS,1765,3:31.018.884,971.871.716 ms,12 B,,48,02,IN txn   [7775 POLL],00 00 00 00 0F 00 00 00 00 00 00 00
1,HS,1766,3:31.018.884,971.746.016 ms,,,48,02,   [7775 IN-NAK],
1,HS,1767,3:31.990.755,66 ns,3 B,,48,02,   IN packet,69 30 51
1,HS,1768,3:31.990.755,283 ns,15 B,,48,02,   DATA0 packet,C3 00 00 00 00 0F 00 00 00 00 00 00 00 DB BD
1,HS,1769,3:31.990.756,33 ns,1 B,,48,02,   ACK packet,D2
0,HS,1770,3:32.983.721,,,,,,Digital input,<Change on pins: 1; New Value = 0x0 (0000b)>
0,HS,1771,3:31.990.891,992.871.266 ms,12 B,,48,02,IN txn   [7943 POLL],80 00 00 00 0F 00 00 00 00 00 00 00
1,HS,1772,3:31.990.891,992.745.566 ms,,,48,02,   [7943 IN-NAK],
1,HS,1773,3:32.983.761,83 ns,3 B,,48,02,   IN packet,69 30 51
1,HS,1774,3:32.983.762,283 ns,15 B,,48,02,   DATA1 packet,4B 80 00 00 00 0F 00 00 00 00 00 00 00 D9 C3
1,HS,1775,3:32.983.762,50 ns,1 B,,48,02,   ACK packet,D2
0,HS,1776,3:33.450.724,,,,,,Digital input,<Change on pins: 1; New Value = 0x1 (0001b)>
0,HS,1777,3:32.983.889,466.876.366 ms,12 B,,48,02,IN txn   [3735 POLL],00 00 00 00 0F 00 00 00 00 00 00 00
1,HS,1778,3:32.983.889,466.750.666 ms,,,48,02,   [3735 IN-NAK],
1,HS,1779,3:33.450.764,66 ns,3 B,,48,02,   IN packet,69 30 51
1,HS,1780,3:33.450.765,266 ns,15 B,,48,02,   DATA0 packet,C3 00 00 00 00 0F 00 00 00 00 00 00 00 DB BD
1,HS,1781,3:33.450.765,33 ns,1 B,,48,02,   ACK packet,D2
0,HS,1782,3:34.299.729,,,,,,Digital input,<Change on pins: 1; New Value = 0x0 (0000b)>
0,HS,1783,3:33.450.891,848.880.183 ms,12 B,,48,02,IN txn   [6791 POLL],80 00 00 00 0F 00 00 00 00 00 00 00
1,HS,1784,3:33.450.891,848.754.483 ms,,,48,02,   [6791 IN-NAK],
1,HS,1785,3:34.299.770,83 ns,3 B,,48,02,   IN packet,69 30 51
1,HS,1786,3:34.299.770,283 ns,15 B,,48,02,   DATA1 packet,4B 80 00 00 00 0F 00 00 00 00 00 00 00 D9 C3
1,HS,1787,3:34.299.771,50 ns,1 B,,48,02,   ACK packet,D2
0,HS,1788,3:35.291.735,,,,,,Digital input,<Change on pins: 1; New Value = 0x1 (0001b)>
0,HS,1789,3:34.299.906,991.871.316 ms,12 B,,48,02,IN txn   [7935 POLL],00 00 00 00 0F 00 00 00 00 00 00 00
1,HS,1790,3:34.299.906,991.745.616 ms,,,48,02,   [7935 IN-NAK],
1,HS,1791,3:35.291.776,66 ns,3 B,,48,02,   IN packet,69 30 51
1,HS,1792,3:35.291.777,283 ns,15 B,,48,02,   DATA0 packet,C3 00 00 00 00 0F 00 00 00 00 00 00 00 DB BD
1,HS,1793,3:35.291.778,33 ns,1 B,,48,02,   ACK packet,D2
0,HS,1794,3:36.059.740,,,,,,Digital input,<Change on pins: 1; New Value = 0x0 (0000b)>
0,HS,1795,3:35.291.908,767.875.200 ms,12 B,,48,02,IN txn   [6143 POLL],80 00 00 00 0F 00 00 00 00 00 00 00
1,HS,1796,3:35.291.908,767.749.483 ms,,,48,02,   [6143 IN-NAK],
1,HS,1797,3:36.059.781,66 ns,3 B,,48,02,   IN packet,69 30 51
1,HS,1798,3:36.059.782,266 ns,15 B,,48,02,   DATA1 packet,4B 80 00 00 00 0F 00 00 00 00 00 00 00 D9 C3
1,HS,1799,3:36.059.783,33 ns,1 B,,48,02,   ACK packet,D2
0,HS,1800,3:37.048.746,,,,,,Digital input,<Change on pins: 1; New Value = 0x1 (0001b)>
0,HS,1801,3:36.059.907,988.882.150 ms,12 B,,48,02,IN txn   [7911 POLL],00 00 00 00 0F 00 00 00 00 00 00 00
1,HS,1802,3:36.059.907,988.756.433 ms,,,48,02,   [7911 IN-NAK],
1,HS,1803,3:37.048.788,83 ns,3 B,,48,02,   IN packet,69 30 51
1,HS,1804,3:37.048.788,266 ns,15 B,,48,02,   DATA0 packet,C3 00 00 00 00 0F 00 00 00 00 00 00 00 DB BD
1,HS,1805,3:37.048.789,50 ns,1 B,,48,02,   ACK packet,D2
0,HS,1806,3:37.581.749,,,,,,Digital input,<Change on pins: 1; New Value = 0x0 (0000b)>
0,HS,1807,3:37.048.915,532.878.150 ms,12 B,,48,02,IN txn   [4263 POLL],80 00 00 00 0F 00 00 00 00 00 00 00
1,HS,1808,3:37.048.915,532.752.433 ms,,,48,02,   [4263 IN-NAK],
1,HS,1809,3:37.581.792,83 ns,3 B,,48,02,   IN packet,69 30 51
1,HS,1810,3:37.581.792,266 ns,15 B,,48,02,   DATA1 packet,4B 80 00 00 00 0F 00 00 00 00 00 00 00 D9 C3
1,HS,1811,3:37.581.793,50 ns,1 B,,48,02,   ACK packet,D2
0,HS,1812,3:38.121.752,,,,,,Digital input,<Change on pins: 1; New Value = 0x1 (0001b)>
0,HS,1813,3:37.581.918,539.878.133 ms,12 B,,48,02,IN txn   [4319 POLL],00 00 00 00 0F 00 00 00 00 00 00 00
1,HS,1814,3:37.581.918,539.752.433 ms,,,48,02,   [4319 IN-NAK],
1,HS,1815,3:38.121.795,66 ns,3 B,,48,02,   IN packet,69 30 51
1,HS,1816,3:38.121.796,266 ns,15 B,,48,02,   DATA0 packet,C3 00 00 00 00 0F 00 00 00 00 00 00 00 DB BD
1,HS,1817,3:38.121.796,33 ns,1 B,,48,02,   ACK packet,D2
0,HS,1818,3:38.934.757,,,,,,Digital input,<Change on pins: 1; New Value = 0x0 (0000b)>
0,HS,1819,3:38.121.931,812.871.000 ms,12 B,,48,02,IN txn   [6503 POLL],80 00 00 00 0F 00 00 00 00 00 00 00
1,HS,1820,3:38.121.931,812.745.283 ms,,,48,02,   [6503 IN-NAK],
1,HS,1821,3:38.934.800,83 ns,3 B,,48,02,   IN packet,69 30 51
1,HS,1822,3:38.934.801,266 ns,15 B,,48,02,   DATA1 packet,4B 80 00 00 00 0F 00 00 00 00 00 00 00 D9 C3
1,HS,1823,3:38.934.802,50 ns,1 B,,48,02,   ACK packet,D2
0,HS,1824,3:39.583.761,,,,,,Digital input,<Change on pins: 1; New Value = 0x1 (0001b)>
0,HS,1825,3:38.934.936,648.869.883 ms,12 B,,48,02,IN txn   [5191 POLL],00 00 00 00 0F 00 00 00 00 00 00 00
1,HS,1826,3:38.934.936,648.744.183 ms,,,48,02,   [5191 IN-NAK],
1,HS,1827,3:39.583.805,66 ns,3 B,,48,02,   IN packet,69 30 51
1,HS,1828,3:39.583.805,266 ns,15 B,,48,02,   DATA0 packet,C3 00 00 00 00 0F 00 00 00 00 00 00 00 DB BD
1,HS,1829,3:39.583.806,33 ns,1 B,,48,02,   ACK packet,D2
0,HS,1830,3:40.267.765,,,,,,Digital input,<Change on pins: 1; New Value = 0x0 (0000b)>
0,HS,1831,3:39.583.932,683.878.133 ms,12 B,,48,02,IN txn   [5471 POLL],80 00 00 00 0F 00 00 00 00 00 00 00
1,HS,1832,3:39.583.932,683.752.433 ms,,,48,02,   [5471 IN-NAK],
1,HS,1833,3:40.267.809,83 ns,3 B,,48,02,   IN packet,69 30 51
1,HS,1834,3:40.267.810,266 ns,15 B,,48,02,   DATA1 packet,4B 80 00 00 00 0F 00 00 00 00 00 00 00 D9 C3
1,HS,1835,3:40.267.810,50 ns,1 B,,48,02,   ACK packet,D2
0,HS,1836,3:40.677.768,,,,,,Digital input,<Change on pins: 1; New Value = 0x1 (0001b)>
0,HS,1837,3:40.267.945,409.868.300 ms,12 B,,48,02,IN txn   [3279 POLL],00 00 00 00 0F 00 00 00 00 00 00 00
1,HS,1838,3:40.267.945,409.742.600 ms,,,48,02,   [3279 IN-NAK],
1,HS,1839,3:40.677.812,66 ns,3 B,,48,02,   IN packet,69 30 51
1,HS,1840,3:40.677.812,266 ns,15 B,,48,02,   DATA0 packet,C3 00 00 00 00 0F 00 00 00 00 00 00 00 DB BD
1,HS,1841,3:40.677.813,33 ns,1 B,,48,02,   ACK packet,D2
0,HS,1842,3:41.539.773,,,,,,Digital input,<Change on pins: 1; New Value = 0x0 (0000b)>
0,HS,1843,3:40.677.948,861.871.250 ms,12 B,,48,02,IN txn   [6895 POLL],80 00 00 00 0F 00 00 00 00 00 00 00
1,HS,1844,3:40.677.948,861.745.550 ms,,,48,02,   [6895 IN-NAK],
1,HS,1845,3:41.539.818,66 ns,3 B,,48,02,   IN packet,69 30 51
1,HS,1846,3:41.539.818,266 ns,15 B,,48,02,   DATA1 packet,4B 80 00 00 00 0F 00 00 00 00 00 00 00 D9 C3
1,HS,1847,3:41.539.819,33 ns,1 B,,48,02,   ACK packet,D2
0,HS,1848,3:42.449.778,,,,,,Digital input,<Change on pins: 1; New Value = 0x1 (0001b)>
0,HS,1849,3:41.539.953,909.871.550 ms,12 B,,48,02,IN txn   [7279 POLL],00 00 00 00 0F 00 00 00 00 00 00 00
1,HS,1850,3:41.539.953,909.745.833 ms,,,48,02,   [7279 IN-NAK],
1,HS,1851,3:42.449.824,83 ns,3 B,,48,02,   IN packet,69 30 51
1,HS,1852,3:42.449.824,266 ns,15 B,,48,02,   DATA0 packet,C3 00 00 00 00 0F 00 00 00 00 00 00 00 DB BD
1,HS,1853,3:42.449.825,50 ns,1 B,,48,02,   ACK packet,D2
0,HS,1854,3:43.284.784,,,,,,Digital input,<Change on pins: 1; New Value = 0x0 (0000b)>
0,HS,1855,3:42.449.950,834.880.083 ms,12 B,,48,02,IN txn   [6679 POLL],80 00 00 00 0F 00 00 00 00 00 00 00
1,HS,1856,3:42.449.950,834.754.383 ms,,,48,02,   [6679 IN-NAK],
1,HS,1857,3:43.284.829,83 ns,3 B,,48,02,   IN packet,69 30 51
1,HS,1858,3:43.284.830,266 ns,15 B,,48,02,   DATA1 packet,4B 80 00 00 00 0F 00 00 00 00 00 00 00 D9 C3
1,HS,1859,3:43.284.830,50 ns,1 B,,48,02,   ACK packet,D2
0,HS,1860,3:44.007.788,,,,,,Digital input,<Change on pins: 1; New Value = 0x1 (0001b)>
0,HS,1861,3:43.284.965,722.870.383 ms,12 B,,48,02,IN txn   [5783 POLL],00 00 00 00 0F 00 00 00 00 00 00 00
1,HS,1862,3:43.284.965,722.744.700 ms,,,48,02,   [5783 IN-NAK],
1,HS,1863,3:44.007.834,66 ns,3 B,,48,02,   IN packet,69 30 51
1,HS,1864,3:44.007.834,283 ns,15 B,,48,02,   DATA0 packet,C3 00 00 00 00 0F 00 00 00 00 00 00 00 DB BD
1,HS,1865,3:44.007.835,33 ns,1 B,,48,02,   ACK packet,D2
0,HS,1866,3:44.926.793,,,,,,Digital input,<Change on pins: 1; New Value = 0x0 (0000b)>
0,HS,1867,3:44.007.968,918.872.800 ms,12 B,,48,02,IN txn   [7351 POLL],80 00 00 00 0F 00 00 00 00 00 00 00
1,HS,1868,3:44.007.968,918.747.100 ms,,,48,02,   [7351 IN-NAK],
1,HS,1869,3:44.926.840,66 ns,3 B,,48,02,   IN packet,69 30 51
1,HS,1870,3:44.926.840,266 ns,15 B,,48,02,   DATA1 packet,4B 80 00 00 00 0F 00 00 00 00 00 00 00 D9 C3
1,HS,1871,3:44.926.841,33 ns,1 B,,48,02,   ACK packet,D2
0,HS,1872,3:45.521.797,,,,,,Digital input,<Change on pins: 1; New Value = 0x1 (0001b)>
0,HS,1873,3:44.926.976,594.869.500 ms,12 B,,48,02,IN txn   [4759 POLL],00 00 00 00 0F 00 00 00 00 00 00 00
1,HS,1874,3:44.926.976,594.743.800 ms,,,48,02,   [4759 IN-NAK],
1,HS,1875,3:45.521.844,83 ns,3 B,,48,02,   IN packet,69 30 51
1,HS,1876,3:45.521.844,283 ns,15 B,,48,02,   DATA0 packet,C3 00 00 00 00 0F 00 00 00 00 00 00 00 DB BD
1,HS,1877,3:45.521.845,50 ns,1 B,,48,02,   ACK packet,D2
0,HS,1878,3:46.023.800,,,,,,Digital input,<Change on pins: 1; New Value = 0x0 (0000b)>
0,HS,1879,3:45.521.971,501.877.016 ms,12 B,,48,02,IN txn   [4015 POLL],80 00 00 00 0F 00 00 00 00 00 00 00
1,HS,1880,3:45.521.971,501.751.316 ms,,,48,02,   [4015 IN-NAK],
1,HS,1881,3:46.023.847,66 ns,3 B,,48,02,   IN packet,69 30 51
1,HS,1882,3:46.023.848,266 ns,15 B,,48,02,   DATA1 packet,4B 80 00 00 00 0F 00 00 00 00 00 00 00 D9 C3
1,HS,1883,3:46.023.848,33 ns,1 B,,48,02,   ACK packet,D2
0,HS,1884,3:46.691.804,,,,,,Digital input,<Change on pins: 1; New Value = 0x1 (0001b)>
0,HS,1885,3:46.023.983,667.869.866 ms,12 B,,48,02,IN txn   [5343 POLL],00 00 00 00 0F 00 00 00 00 00 00 00
1,HS,1886,3:46.023.983,667.744.166 ms,,,48,02,   [5343 IN-NAK],
1,HS,1887,3:46.691.852,83 ns,3 B,,48,02,   IN packet,69 30 51
1,HS,1888,3:46.691.852,266 ns,15 B,,48,02,   DATA0 packet,C3 00 00 00 00 0F 00 00 00 00 00 00 00 DB BD
1,HS,1889,3:46.691.853,50 ns,1 B,,48,02,   ACK packet,D2
0,HS,1890,3:47.626.810,,,,,,Digital input,<Change on pins: 1; New Value = 0x0 (0000b)>
0,HS,1891,3:46.691.986,934.873.266 ms,12 B,,48,02,IN txn   [7479 POLL],80 00 00 00 0F 00 00 00 00 00 00 00
1,HS,1892,3:46.691.986,934.747.550 ms,,,48,02,   [7479 IN-NAK],
1,HS,1893,3:47.626.858,83 ns,3 B,,48,02,   IN packet,69 30 51
1,HS,1894,3:47.626.858,266 ns,15 B,,48,02,   DATA1 packet,4B 80 00 00 00 0F 00 00 00 00 00 00 00 D9 C3
1,HS,1895,3:47.626.859,50 ns,1 B,,48,02,   ACK packet,D2
0,HS,1896,3:48.213.813,,,,,,Digital input,<Change on pins: 1; New Value = 0x1 (0001b)>
0,HS,1897,3:47.626.993,586.869.400 ms,12 B,,48,02,IN txn   [4695 POLL],00 00 00 00 0F 00 00 00 00 00 00 00
1,HS,1898,3:47.626.993,586.743.683 ms,,,48,02,   [4695 IN-NAK],
1,HS,1899,3:48.213.862,83 ns,3 B,,48,02,   IN packet,69 30 51
1,HS,1900,3:48.213.862,266 ns,15 B,,48,02,   DATA0 packet,C3 00 00 00 00 0F 00 00 00 00 00 00 00 DB BD
1,HS,1901,3:48.213.863,50 ns,1 B,,48,02,   ACK packet,D2
0,HS,1902,3:48.851.817,,,,,,Digital input,<Change on pins: 1; New Value = 0x0 (0000b)>
0,HS,1903,3:48.213.997,637.869.783 ms,12 B,,48,02,IN txn   [5103 POLL],80 00 00 00 0F 00 00 00 00 00 00 00
1,HS,1904,3:48.213.997,637.744.083 ms,,,48,02,   [5103 IN-NAK],
1,HS,1905,3:48.851.866,66 ns,3 B,,48,02,   IN packet,69 30 51
1,HS,1906,3:48.851.866,283 ns,15 B,,48,02,   DATA1 packet,4B 80 00 00 00 0F 00 00 00 00 00 00 00 D9 C3
1,HS,1907,3:48.851.867,33 ns,1 B,,48,02,   ACK packet,D2
0,HS,1908,3:49.322.820,,,,,,Digital input,<Change on pins: 1; New Value = 0x1 (0001b)>
0,HS,1909,3:48.852.001,470.868.666 ms,12 B,,48,02,IN txn   [3767 POLL],00 00 00 00 0F 00 00 00 00 00 00 00
1,HS,1910,3:48.852.001,470.742.966 ms,,,48,02,   [3767 IN-NAK],
1,HS,1911,3:49.322.869,83 ns,3 B,,48,02,   IN packet,69 30 51
1,HS,1912,3:49.322.869,283 ns,15 B,,48,02,   DATA0 packet,C3 00 00 00 00 0F 00 00 00 00 00 00 00 DB BD
1,HS,1913,3:49.322.870,50 ns,1 B,,48,02,   ACK packet,D2
0,HS,1914,3:50.281.826,,,,,,Digital input,<Change on pins: 1; New Value = 0x0 (0000b)>
0,HS,1915,3:49.323.003,958.873.050 ms,12 B,,48,02,IN txn   [7671 POLL],80 00 00 00 0F 00 00 00 00 00 00 00
1,HS,1916,3:49.323.003,958.747.350 ms,,,48,02,   [7671 IN-NAK],
1,HS,1917,3:50.281.875,66 ns,3 B,,48,02,   IN packet,69 30 51
1,HS,1918,3:50.281.876,283 ns,15 B,,48,02,   DATA1 packet,4B 80 00 00 00 0F 00 00 00 00 00 00 00 D9 C3
1,HS,1919,3:50.281.876,33 ns,1 B,,48,02,   ACK packet,D2
0,HS,1920,3:50.811.829,,,,,,Digital input,<Change on pins: 1; New Value = 0x1 (0001b)>
0,HS,1921,3:50.282.007,529.872.500 ms,12 B,,48,02,IN txn   [4239 POLL],00 00 00 00 0F 00 00 00 00 00 00 00
1,HS,1922,3:50.282.007,529.746.766 ms,,,48,02,   [4239 IN-NAK],
1,HS,1923,3:50.811.879,83 ns,3 B,,48,02,   IN packet,69 30 51
1,HS,1924,3:50.811.879,283 ns,15 B,,48,02,   DATA0 packet,C3 00 00 00 00 0F 00 00 00 00 00 00 00 DB BD
1,HS,1925,3:50.811.880,50 ns,1 B,,48,02,   ACK packet,D2
0,HS,1926,3:51.407.832,,,,,,Digital input,<Change on pins: 1; New Value = 0x0 (0000b)>
0,HS,1927,3:50.812.014,595.869.633 ms,12 B,,48,02,IN txn   [4767 POLL],80 00 00 00 0F 00 00 00 00 00 00 00
1,HS,1928,3:50.812.014,595.743.933 ms,,,48,02,   [4767 IN-NAK],
1,HS,1929,3:51.407.882,66 ns,3 B,,48,02,   IN packet,69 30 51
1,HS,1930,3:51.407.883,266 ns,15 B,,48,02,   DATA1 packet,4B 80 00 00 00 0F 00 00 00 00 00 00 00 D9 C3
1,HS,1931,3:51.407.884,33 ns,1 B,,48,02,   ACK packet,D2
0,HS,1932,3:52.133.837,,,,,,Digital input,<Change on pins: 1; New Value = 0x1 (0001b)>
0,HS,1933,3:51.408.008,725.880.500 ms,12 B,,48,02,IN txn   [5807 POLL],00 00 00 00 0F 00 00 00 00 00 00 00
1,HS,1934,3:51.408.008,725.754.800 ms,,,48,02,   [5807 IN-NAK],
1,HS,1935,3:52.133.887,83 ns,3 B,,48,02,   IN packet,69 30 51
1,HS,1936,3:52.133.888,266 ns,15 B,,48,02,   DATA0 packet,C3 00 00 00 00 0F 00 00 00 00 00 00 00 DB BD
1,HS,1937,3:52.133.888,50 ns,1 B,,48,02,   ACK packet,D2
0,HS,1938,3:52.798.841,,,,,,Digital input,<Change on pins: 1; New Value = 0x0 (0000b)>
0,HS,1939,3:52.134.023,664.869.966 ms,12 B,,48,02,IN txn   [5319 POLL],80 00 00 00 0F 00 00 00 00 00 00 00
1,HS,1940,3:52.134.023,664.744.266 ms,,,48,02,   [5319 IN-NAK],
1,HS,1941,3:52.798.892,66 ns,3 B,,48,02,   IN packet,69 30 51
1,HS,1942,3:52.798.892,283 ns,15 B,,48,02,   DATA1 packet,4B 80 00 00 00 0F 00 00 00 00 00 00 00 D9 C3
1,HS,1943,3:52.798.893,33 ns,1 B,,48,02,   ACK packet,D2
0,HS,1944,3:53.670.846,,,,,,Digital input,<Change on pins: 1; New Value = 0x1 (0001b)>
0,HS,1945,3:52.799.027,871.871.333 ms,12 B,,48,02,IN txn   [6975 POLL],00 00 00 00 0F 00 00 00 00 00 00 00
1,HS,1946,3:52.799.027,871.745.616 ms,,,48,02,   [6975 IN-NAK],
1,HS,1947,3:53.670.897,83 ns,3 B,,48,02,   IN packet,69 30 51
1,HS,1948,3:53.670.898,266 ns,15 B,,48,02,   DATA0 packet,C3 00 00 00 00 0F 00 00 00 00 00 00 00 DB BD
1,HS,1949,3:53.670.898,50 ns,1 B,,48,02,   ACK packet,D2
0,HS,1950,3:54.627.852,,,,,,Digital input,<Change on pins: 1; New Value = 0x0 (0000b)>
0,HS,1951,3:53.671.033,956.871.883 ms,12 B,,48,02,IN txn   [7655 POLL],80 00 00 00 0F 00 00 00 00 00 00 00
1,HS,1952,3:53.671.033,956.746.183 ms,,,48,02,   [7655 IN-NAK],
1,HS,1953,3:54.627.904,83 ns,3 B,,48,02,   IN packet,69 30 51
1,HS,1954,3:54.627.904,283 ns,15 B,,48,02,   DATA1 packet,4B 80 00 00 00 0F 00 00 00 00 00 00 00 D9 C3
1,HS,1955,3:54.627.905,50 ns,1 B,,48,02,   ACK packet,D2
0,HS,1956,3:55.028.854,,,,,,Digital input,<Change on pins: 1; New Value = 0x1 (0001b)>
0,HS,1957,3:54.628.039,400.868.266 ms,12 B,,48,02,IN txn   [3207 POLL],00 00 00 00 0F 00 00 00 00 00 00 00
1,HS,1958,3:54.628.039,400.742.566 ms,,,48,02,   [3207 IN-NAK],
1,HS,1959,3:55.028.906,66 ns,3 B,,48,02,   IN packet,69 30 51
1,HS,1960,3:55.028.907,266 ns,15 B,,48,02,   DATA0 packet,C3 00 00 00 00 0F 00 00 00 00 00 00 00 DB BD
1,HS,1961,3:55.028.907,33 ns,1 B,,48,02,   ACK packet,D2
0,HS,1962,3:55.663.858,,,,,,Digital input,<Change on pins: 1; New Value = 0x0 (0000b)>
0,HS,1963,3:55.029.042,634.869.766 ms,12 B,,48,02,IN txn   [5079 POLL],80 00 00 00 0F 00 00 00 00 00 00 00
1,HS,1964,3:55.029.042,634.744.066 ms,,,48,02,   [5079 IN-NAK],
1,HS,1965,3:55.663.910,83 ns,3 B,,48,02,   IN packet,69 30 51
1,HS,1966,3:55.663.911,283 ns,15 B,,48,02,   DATA1 packet,4B 80 00 00 00 0F 00 00 00 00 00 00 00 D9 C3
1,HS,1967,3:55.663.912,50 ns,1 B,,48,02,   ACK packet,D2
0,HS,1968,3:56.403.862,,,,,,Digital input,<Change on pins: 1; New Value = 0x1 (0001b)>
0,HS,1969,3:55.664.047,739.869.650 ms,12 B,,48,02,IN txn   [5919 POLL],00 00 00 00 0F 00 00 00 00 00 00 00
1,HS,1970,3:55.664.047,739.743.950 ms,,,48,02,   [5919 IN-NAK],
1,HS,1971,3:56.403.915,66 ns,3 B,,48,02,   IN packet,69 30 51
1,HS,1972,3:56.403.916,266 ns,15 B,,48,02,   DATA0 packet,C3 00 00 00 00 0F 00 00 00 00 00 00 00 DB BD
1,HS,1973,3:56.403.916,33 ns,1 B,,48,02,   ACK packet,D2
0,HS,1974,3:57.019.866,,,,,,Digital input,<Change on pins: 1; New Value = 0x0 (0000b)>
0,HS,1975,3:56.404.041,615.879.633 ms,12 B,,48,02,IN txn   [4927 POLL],80 00 00 00 0F 00 00 00 00 00 00 00
1,HS,1976,3:56.404.041,615.753.933 ms,,,48,02,   [4927 IN-NAK],
1,HS,1977,3:57.019.919,83 ns,3 B,,48,02,   IN packet,69 30 51
1,HS,1978,3:57.019.920,283 ns,15 B,,48,02,   DATA1 packet,4B 80 00 00 00 0F 00 00 00 00 00 00 00 D9 C3
1,HS,1979,3:57.019.920,50 ns,1 B,,48,02,   ACK packet,D2
0,HS,1980,3:57.829.871,,,,,,Digital input,<Change on pins: 1; New Value = 0x1 (0001b)>
0,HS,1981,3:57.020.055,809.870.900 ms,12 B,,48,02,IN txn   [6479 POLL],00 00 00 00 0F 00 00 00 00 00 00 00
1,HS,1982,3:57.020.055,809.745.200 ms,,,48,02,   [6479 IN-NAK],
1,HS,1983,3:57.829.925,66 ns,3 B,,48,02,   IN packet,69 30 51
1,HS,1984,3:57.829.925,266 ns,15 B,,48,02,   DATA0 packet,C3 00 00 00 00 0F 00 00 00 00 00 00 00 DB BD
1,HS,1985,3:57.829.926,33 ns,1 B,,48,02,   ACK packet,D2
0,HS,1986,3:58.341.874,,,,,,Digital input,<Change on pins: 1; New Value = 0x0 (0000b)>
0,HS,1987,3:57.830.059,511.869.966 ms,12 B,,48,02,IN txn   [4095 POLL],80 00 00 00 0F 00 00 00 00 00 00 00
1,HS,1988,3:57.830.059,511.744.266 ms,,,48,02,   [4095 IN-NAK],
1,HS,1989,3:58.341.928,83 ns,3 B,,48,02,   IN packet,69 30 51
1,HS,1990,3:58.341.928,283 ns,15 B,,48,02,   DATA1 packet,4B 80 00 00 00 0F 00 00 00 00 00 00 00 D9 C3
1,HS,1991,3:58.341.929,50 ns,1 B,,48,02,   ACK packet,D2
0,HS,1992,3:59.145.879,,,,,,Digital input,<Change on pins: 1; New Value = 0x1 (0001b)>
0,HS,1993,3:58.342.063,803.870.900 ms,12 B,,48,02,IN txn   [6431 POLL],00 00 00 00 0F 00 00 00 00 00 00 00
1,HS,1994,3:58.342.063,803.745.200 ms,,,48,02,   [6431 IN-NAK],
1,HS,1995,3:59.145.933,83 ns,3 B,,48,02,   IN packet,69 30 51
1,HS,1996,3:59.145.934,283 ns,15 B,,48,02,   DATA0 packet,C3 00 00 00 00 0F 00 00 00 00 00 00 00 DB BD
1,HS,1997,3:59.145.934,50 ns,1 B,,48,02,   ACK packet,D2
0,HS,1998,3:59.632.882,,,,,,Digital input,<Change on pins: 1; New Value = 0x0 (0000b)>
0,HS,1999,3:59.146.059,486.878.900 ms,12 B,,48,02,IN txn   [3895 POLL],80 00 00 00 0F 00 00 00 00 00 00 00
1,HS,2000,3:59.146.059,486.753.183 ms,,,48,02,   [3895 IN-NAK],
1,HS,2001,3:59.632.936,83 ns,3 B,,48,02,   IN packet,69 30 51
1,HS,2002,3:59.632.937,266 ns,15 B,,48,02,   DATA1 packet,4B 80 00 00 00 0F 00 00 00 00 00 00 00 D9 C3
1,HS,2003,3:59.632.937,50 ns,1 B,,48,02,   ACK packet,D2
0,HS,2004,4:00.051.884,,,,,,Digital input,<Change on pins: 1; New Value = 0x1 (0001b)>
0,HS,2005,3:59.633.072,418.867.850 ms,12 B,,48,02,IN txn   [3351 POLL],00 00 00 00 0F 00 00 00 00 00 00 00
1,HS,2006,3:59.633.072,418.742.166 ms,,,48,02,   [3351 IN-NAK],
1,HS,2007,4:00.051.939,66 ns,3 B,,48,02,   IN packet,69 30 51
1,HS,2008,4:00.051.939,283 ns,15 B,,48,02,   DATA0 packet,C3 00 00 00 00 0F 00 00 00 00 00 00 00 DB BD
1,HS,2009,4:00.051.940,33 ns,1 B,,48,02,   ACK packet,D2
0,HS,2010,4:00.492.887,,,,,,Digital input,<Change on pins: 1; New Value = 0x0 (0000b)>
