# Total Phase Data Center(tm) v7.01
# (c) 2005-2021 Total Phase, Inc.
# www.totalphase.com
#
# 
#
# Level,Sp,Index,m:s.ms.us,Dur,Len,Err,Dev,Ep,Record,Summary
2,FS,64,0:09.514.612,3.916 us,,,11,00,      [1 IN-NAK],
2,FS,65,0:09.514.638,2.083 us,3 B,,11,00,      IN packet,69 0B 20
2,FS,66,0:09.514.641,45.083 us,67 B,,11,00,      DATA1 packet,4B 09 02 60 00 03 01 00 A0 FA 09 04 00 00 02 FF 47 D0 00 07 05 02 03 40…
2,FS,67,0:09.514.688,750 ns,1 B,,11,00,      ACK packet,D2
1,FS,68,0:09.514.763,28.750 us,32 B,,11,00,   IN txn,09 04 02 00 00 FF 47 D0 00 09 04 02 01 02 FF 47 D0 00 07 05 04 02 40 00…
2,FS,69,0:09.514.763,2.083 us,3 B,,11,00,      IN packet,69 0B 20
2,FS,70,0:09.514.766,23.583 us,35 B,,11,00,      DATA0 packet,C3 09 04 02 00 00 FF 47 D0 00 09 04 02 01 02 FF 47 D0 00 07 05 04 02 40…
2,FS,71,0:09.514.791,750 ns,1 B,,11,00,      ACK packet,D2
1,FS,72,0:09.514.803,7.250 us,0 B,,11,00,   OUT txn,
2,FS,73,0:09.514.803,2.083 us,3 B,,11,00,      OUT packet,E1 0B 20
2,FS,74,0:09.514.806,2.083 us,3 B,,11,00,      DATA1 packet,4B 00 00
2,FS,75,0:09.514.809,750 ns,1 B,,11,00,      ACK packet,D2
0,FS,76,0:09.514.890,115.583 us,58 B,,11,00,Get String Descriptor,Index=3 Length=255
1,FS,77,0:09.514.890,12.666 us,8 B,,11,00,   SETUP txn,80 06 03 03 09 04 FF 00
2,FS,78,0:09.514.890,2.083 us,3 B,,11,00,      SETUP packet,2D 0B 20
2,FS,79,0:09.514.893,7.516 us,11 B,,11,00,      DATA0 packet,C3 80 06 03 03 09 04 FF 00 96 0A
2,FS,80,0:09.514.902,750 ns,1 B,,11,00,      ACK packet,D2
1,FS,81,0:09.514.915,72.083 us,58 B,,11,00,   IN txn   [1 POLL],3A 03 33 00 30 00 33 00 32 00 33 00 36 00 33 00 32 00 33 00 30 00 33 00…
2,FS,82,0:09.514.915,4.000 us,,,11,00,      [1 IN-NAK],
2,FS,83,0:09.514.941,2.083 us,3 B,,11,00,      IN packet,69 0B 20
2,FS,84,0:09.514.944,40.750 us,61 B,,11,00,      DATA1 packet,4B 3A 03 33 00 30 00 33 00 32 00 33 00 36 00 33 00 32 00 33 00 30 00 33…
2,FS,85,0:09.514.986,666 ns,1 B,,11,00,      ACK packet,D2
1,FS,86,0:09.514.998,7.250 us,0 B,,11,00,   OUT txn,
2,FS,87,0:09.514.998,2.083 us,3 B,,11,00,      OUT packet,E1 0B 20
2,FS,88,0:09.515.002,2.083 us,3 B,,11,00,      DATA1 packet,4B 00 00
2,FS,89,0:09.515.005,750 ns,1 B,,11,00,      ACK packet,D2
0,FS,90,0:09.515.077,86.583 us,16 B,,11,00,Get MS Extended Compat ID OS Feature Descriptor,Index=4 Length=16
1,FS,91,0:09.515.077,12.583 us,8 B,,11,00,   SETUP txn,C0 90 00 00 04 00 10 00
2,FS,92,0:09.515.077,2.083 us,3 B,,11,00,      SETUP packet,2D 0B 20
2,FS,93,0:09.515.080,7.416 us,11 B,,11,00,      DATA0 packet,C3 C0 90 00 00 04 00 10 00 2F 5D
2,FS,94,0:09.515.089,750 ns,1 B,,11,00,      ACK packet,D2
1,FS,95,0:09.515.102,44.083 us,16 B,,11,00,   IN txn   [1 POLL],28 00 00 00 00 01 04 00 01 00 00 00 00 00 00 00
2,FS,96,0:09.515.102,4.000 us,,,11,00,      [1 IN-NAK],
2,FS,97,0:09.515.128,2.083 us,3 B,,11,00,      IN packet,69 0B 20
2,FS,98,0:09.515.131,12.750 us,19 B,,11,00,      DATA1 packet,4B 28 00 00 00 00 01 04 00 01 00 00 00 00 00 00 00 DB F4
2,FS,99,0:09.515.145,750 ns,1 B,,11,00,      ACK packet,D2
1,FS,100,0:09.515.156,7.250 us,0 B,,11,00,   OUT txn,
2,FS,101,0:09.515.156,2.083 us,3 B,,11,00,      OUT packet,E1 0B 20
2,FS,102,0:09.515.160,2.083 us,3 B,,11,00,      DATA1 packet,4B 00 00
2,FS,103,0:09.515.163,750 ns,1 B,,11,00,      ACK packet,D2
0,FS,104,0:09.515.227,132.500 us,40 B,,11,00,Get MS Extended Compat ID OS Feature Descriptor,Index=4 Length=40
1,FS,105,0:09.515.227,12.583 us,8 B,,11,00,   SETUP txn,C0 90 00 00 04 00 28 00
2,FS,106,0:09.515.227,2.083 us,3 B,,11,00,      SETUP packet,2D 0B 20
2,FS,107,0:09.515.230,7.416 us,11 B,,11,00,      DATA0 packet,C3 C0 90 00 00 04 00 28 00 3C 9D
2,FS,108,0:09.515.239,750 ns,1 B,,11,00,      ACK packet,D2
1,FS,109,0:09.515.252,59.250 us,40 B,,11,00,   IN txn   [1 POLL],28 00 00 00 00 01 04 00 01 00 00 00 00 00 00 00 00 01 58 47 49 50 31 30…
2,FS,110,0:09.515.252,3.916 us,,,11,00,      [1 IN-NAK],
2,FS,111,0:09.515.277,2.083 us,3 B,,11,00,      IN packet,69 0B 20
2,FS,112,0:09.515.280,28.750 us,43 B,,11,00,      DATA1 packet,4B 28 00 00 00 00 01 04 00 01 00 00 00 00 00 00 00 00 01 58 47 49 50 31…
2,FS,113,0:09.515.310,750 ns,1 B,,11,00,      ACK packet,D2
1,FS,114,0:09.515.324,35.916 us,0 B,,11,00,   OUT txn   [1 POLL],
2,FS,115,0:09.515.324,7.250 us,,,11,00,      [1 OUT-DATA-NAK],
3,FS,116,0:09.515.324,7.250 us,0 B,,11,00,         OUT-DATA-NAK,
4,FS,117,0:09.515.324,2.083 us,3 B,,11,00,            OUT packet,E1 0B 20
4,FS,118,0:09.515.327,2.083 us,3 B,,11,00,            DATA1 packet,4B 00 00
4,FS,119,0:09.515.330,750 ns,1 B,,11,00,            NAK packet,5A
2,FS,120,0:09.515.352,2.083 us,3 B,,11,00,      OUT packet,E1 0B 20
2,FS,121,0:09.515.356,2.083 us,3 B,,11,00,      DATA1 packet,4B 00 00
