# Total Phase Data Center(tm) v7.01
# (c) 2005-2021 Total Phase, Inc.
# www.totalphase.com
#
# 
#
# Level,Sp,Index,m:s.ms.us,Dur,Len,Err,Dev,Ep,Record,Summary
1,FS,3012,2:49.866.678,879.983.083 ms,,,12,02,   [221 IN-NAK],
1,FS,3013,2:50.750.657,2.083 us,3 B,,12,02,   IN packet,69 0C 71
1,FS,3014,2:50.750.660,14.250 us,21 B,,12,02,   DATA0 packet,C3 20 00 E1 0E 00 00 00 00 00 00 DC 02 FB FA 39 01 1B FD F6 B6
1,FS,3015,2:50.750.675,750 ns,1 B,,12,02,   ACK packet,D2
0,FS,3016,2:51.173.178,,,,,,Digital input,<Change on pins: 1; New Value = 0x0 (0000b)>
0,FS,3017,2:50.754.665,428.013.916 ms,18 B,,12,02,IN txn   [107 POLL],20 00 E2 0E 00 10 00 00 00 00 DC 02 FB FA 39 01 1B FD
1,FS,3018,2:50.754.665,423.998.416 ms,,,12,02,   [107 IN-NAK],
1,FS,3019,2:51.182.659,2.083 us,3 B,,12,02,   IN packet,69 0C 71
1,FS,3020,2:51.182.662,14.250 us,21 B,,12,02,   DATA1 packet,4B 20 00 E2 0E 00 10 00 00 00 00 DC 02 FB FA 39 01 1B FD 88 D7
1,FS,3021,2:51.182.678,750 ns,1 B,,12,02,   ACK packet,D2
0,FS,3022,2:51.766.181,,,,,,Digital input,<Change on pins: 1; New Value = 0x1 (0001b)>
0,FS,3023,2:51.186.668,584.014.083 ms,18 B,,12,02,IN txn   [146 POLL],20 00 E3 0E 00 00 00 00 00 00 DC 02 FB FA 39 01 1B FD
1,FS,3024,2:51.186.668,579.998.583 ms,,,12,02,   [146 IN-NAK],
1,FS,3025,2:51.770.662,2.083 us,3 B,,12,02,   IN packet,69 0C 71
1,FS,3026,2:51.770.666,14.250 us,21 B,,12,02,   DATA0 packet,C3 20 00 E3 0E 00 00 00 00 00 00 DC 02 FB FA 39 01 1B FD 77 D7
1,FS,3027,2:51.770.681,750 ns,1 B,,12,02,   ACK packet,D2
0,FS,3028,2:52.423.184,,,,,,Digital input,<Change on pins: 1; New Value = 0x0 (0000b)>
0,FS,3029,2:51.774.670,660.015.250 ms,18 B,,12,02,IN txn   [165 POLL],20 00 E4 0E 00 10 00 00 00 00 DC 02 FB FA 39 01 1B FD
1,FS,3030,2:51.774.670,655.999.833 ms,,,12,02,   [165 IN-NAK],
1,FS,3031,2:52.434.666,2.083 us,3 B,,12,02,   IN packet,69 0C 71
1,FS,3032,2:52.434.669,14.250 us,21 B,,12,02,   DATA1 packet,4B 20 00 E4 0E 00 10 00 00 00 00 DC 02 FB FA 39 01 1B FD 0B 75
1,FS,3033,2:52.434.685,750 ns,1 B,,12,02,   ACK packet,D2
0,FS,3034,2:53.005.187,,,,,,Digital input,<Change on pins: 1; New Value = 0x1 (0001b)>
0,FS,3035,2:52.438.689,575.999.250 ms,18 B,,12,02,IN txn   [144 POLL],20 00 E5 0E 00 00 00 00 00 00 DC 02 FB FA 39 01 1B FD
1,FS,3036,2:52.438.689,571.983.833 ms,,,12,02,   [144 IN-NAK],
1,FS,3037,2:53.014.669,2.083 us,3 B,,12,02,   IN packet,69 0C 71
1,FS,3038,2:53.014.672,14.250 us,21 B,,12,02,   DATA0 packet,C3 20 00 E5 0E 00 00 00 00 00 00 DC 02 FB FA 39 01 1B FD F4 75
1,FS,3039,2:53.014.688,750 ns,1 B,,12,02,   ACK packet,D2
0,FS,3040,2:53.535.189,,,,,,Digital input,<Change on pins: 1; New Value = 0x0 (0000b)>
0,FS,3041,2:53.018.677,528.014.500 ms,18 B,,12,02,IN txn   [132 POLL],20 00 E6 0E 00 10 00 00 00 00 DC 02 FB FA 39 01 1B FD
1,FS,3042,2:53.018.677,523.999.000 ms,,,12,02,   [132 IN-NAK],
1,FS,3043,2:53.546.672,2.083 us,3 B,,12,02,   IN packet,69 0C 71
1,FS,3044,2:53.546.675,14.250 us,21 B,,12,02,   DATA1 packet,4B 20 00 E6 0E 00 10 00 00 00 00 DC 02 FB FA 39 01 1B FD 8A 14
1,FS,3045,2:53.546.691,750 ns,1 B,,12,02,   ACK packet,D2
0,FS,3046,2:54.052.192,,,,,,Digital input,<Change on pins: 1; New Value = 0x1 (0001b)>
0,FS,3047,2:53.550.680,512.014.416 ms,18 B,,12,02,IN txn   [128 POLL],20 00 E7 0E 00 00 00 00 00 00 DC 02 FB FA 39 01 1B FD
1,FS,3048,2:53.550.680,507.999.000 ms,,,12,02,   [128 IN-NAK],
1,FS,3049,2:54.062.675,2.083 us,3 B,,12,02,   IN packet,69 0C 71
1,FS,3050,2:54.062.678,14.250 us,21 B,,12,02,   DATA0 packet,C3 20 00 E7 0E 00 00 00 00 00 00 DC 02 FB FA 39 01 1B FD 75 14
1,FS,3051,2:54.062.694,750 ns,1 B,,12,02,   ACK packet,D2
0,FS,3052,2:54.858.195,,,,,,Digital input,<Change on pins: 1; New Value = 0x0 (0000b)>
0,FS,3053,2:54.066.675,800.023.833 ms,18 B,,12,02,IN txn   [200 POLL],20 00 E8 0E 00 10 00 00 00 00 DC 02 FB FA 39 01 1B FD
1,FS,3054,2:54.066.675,796.008.333 ms,,,12,02,   [200 IN-NAK],
1,FS,3055,2:54.866.679,2.083 us,3 B,,12,02,   IN packet,69 0C 71
1,FS,3056,2:54.866.683,14.250 us,21 B,,12,02,   DATA1 packet,4B 20 00 E8 0E 00 10 00 00 00 00 DC 02 FB FA 39 01 1B FD 0E 70
1,FS,3057,2:54.866.698,750 ns,1 B,,12,02,   ACK packet,D2
0,FS,3058,2:55.391.198,,,,,,Digital input,<Change on pins: 1; New Value = 0x1 (0001b)>
0,FS,3059,2:54.870.687,528.014.500 ms,18 B,,12,02,IN txn   [132 POLL],20 00 E9 0E 00 00 00 00 00 00 DC 02 FB FA 39 01 1B FD
1,FS,3060,2:54.870.687,523.999.083 ms,,,12,02,   [132 IN-NAK],
1,FS,3061,2:55.398.682,2.083 us,3 B,,12,02,   IN packet,69 0C 71
1,FS,3062,2:55.398.686,14.250 us,21 B,,12,02,   DATA0 packet,C3 20 00 E9 0E 00 00 00 00 00 00 DC 02 FB FA 39 01 1B FD F1 70
1,FS,3063,2:55.398.701,750 ns,1 B,,12,02,   ACK packet,D2
0,FS,3064,2:55.867.200,,,,,,Digital input,<Change on pins: 1; New Value = 0x0 (0000b)>
0,FS,3065,2:55.402.690,472.014.250 ms,18 B,,12,02,IN txn   [118 POLL],20 00 EA 0E 00 10 00 00 00 00 DC 02 FB FA 39 01 1B FD
1,FS,3066,2:55.402.690,467.998.833 ms,,,12,02,   [118 IN-NAK],
1,FS,3067,2:55.874.685,2.083 us,3 B,,12,02,   IN packet,69 0C 71
1,FS,3068,2:55.874.688,14.250 us,21 B,,12,02,   DATA1 packet,4B 20 00 EA 0E 00 10 00 00 00 00 DC 02 FB FA 39 01 1B FD 8F 11
1,FS,3069,2:55.874.704,750 ns,1 B,,12,02,   ACK packet,D2
0,FS,3070,2:56.523.203,,,,,,Digital input,<Change on pins: 1; New Value = 0x1 (0001b)>
0,FS,3071,2:55.878.693,652.015.166 ms,18 B,,12,02,IN txn   [163 POLL],20 00 EB 0E 00 00 00 00 00 00 DC 02 FB FA 39 01 1B FD
1,FS,3072,2:55.878.693,647.999.750 ms,,,12,02,   [163 IN-NAK],
1,FS,3073,2:56.530.689,2.083 us,3 B,,12,02,   IN packet,69 0C 71
1,FS,3074,2:56.530.692,14.250 us,21 B,,12,02,   DATA0 packet,C3 20 00 EB 0E 00 00 00 00 00 00 DC 02 FB FA 39 01 1B FD 70 11
1,FS,3075,2:56.530.707,750 ns,1 B,,12,02,   ACK packet,D2
0,FS,3076,2:57.181.206,,,,,,Digital input,<Change on pins: 1; New Value = 0x0 (0000b)>
0,FS,3077,2:56.534.696,656.015.250 ms,18 B,,12,02,IN txn   [164 POLL],20 00 EC 0E 00 10 00 00 00 00 DC 02 FB FA 39 01 1B FD
1,FS,3078,2:56.534.696,651.999.750 ms,,,12,02,   [164 IN-NAK],
1,FS,3079,2:57.190.692,2.083 us,3 B,,12,02,   IN packet,69 0C 71
1,FS,3080,2:57.190.695,14.250 us,21 B,,12,02,   DATA1 packet,4B 20 00 EC 0E 00 10 00 00 00 00 DC 02 FB FA 39 01 1B FD 0C B3
1,FS,3081,2:57.190.711,750 ns,1 B,,12,02,   ACK packet,D2
0,FS,3082,2:57.941.210,,,,,,Digital input,<Change on pins: 1; New Value = 0x1 (0001b)>
0,FS,3083,2:57.194.700,752.015.833 ms,18 B,,12,02,IN txn   [188 POLL],20 00 ED 0E 00 00 00 00 00 00 DC 02 FB FA 39 01 1B FD
1,FS,3084,2:57.194.700,748.000.333 ms,,,12,02,   [188 IN-NAK],
1,FS,3085,2:57.946.696,2.083 us,3 B,,12,02,   IN packet,69 0C 71
1,FS,3086,2:57.946.700,14.333 us,21 B,,12,02,   DATA0 packet,C3 20 00 ED 0E 00 00 00 00 00 00 DC 02 FB FA 39 01 1B FD F3 B3
1,FS,3087,2:57.946.715,750 ns,1 B,,12,02,   ACK packet,D2
0,FS,3088,2:58.850.214,,,,,,Digital input,<Change on pins: 1; New Value = 0x0 (0000b)>
0,FS,3089,2:57.950.721,907.999.666 ms,18 B,,12,02,IN txn   [227 POLL],20 00 EE 0E 00 10 00 00 00 00 DC 02 FB FA 39 01 1B FD
1,FS,3090,2:57.950.721,903.984.250 ms,,,12,02,   [227 IN-NAK],
1,FS,3091,2:58.858.701,2.083 us,3 B,,12,02,   IN packet,69 0C 71
1,FS,3092,2:58.858.705,14.250 us,21 B,,12,02,   DATA1 packet,4B 20 00 EE 0E 00 10 00 00 00 00 DC 02 FB FA 39 01 1B FD 8D D2
1,FS,3093,2:58.858.720,750 ns,1 B,,12,02,   ACK packet,D2
0,FS,3094,2:59.291.216,,,,,,Digital input,<Change on pins: 1; New Value = 0x1 (0001b)>
0,FS,3095,2:58.862.709,432.014.000 ms,18 B,,12,02,IN txn   [108 POLL],20 00 EF 0E 00 00 00 00 00 00 DC 02 FB FA 39 01 1B FD
1,FS,3096,2:58.862.709,427.998.416 ms,,,12,02,   [108 IN-NAK],
1,FS,3097,2:59.294.704,2.083 us,3 B,,12,02,   IN packet,69 0C 71
1,FS,3098,2:59.294.707,14.250 us,21 B,,12,02,   DATA0 packet,C3 20 00 EF 0E 00 00 00 00 00 00 DC 02 FB FA 39 01 1B FD 72 D2
1,FS,3099,2:59.294.723,750 ns,1 B,,12,02,   ACK packet,D2
0,FS,3100,3:00.110.220,,,,,,Digital input,<Change on pins: 1; New Value = 0x0 (0000b)>
0,FS,3101,2:59.298.712,820.015.333 ms,18 B,,12,02,IN txn   [205 POLL],20 00 F0 0E 00 10 00 00 00 00 DC 02 FB FA 39 01 1B FD
1,FS,3102,2:59.298.712,815.999.833 ms,,,12,02,   [205 IN-NAK],
1,FS,3103,3:00.118.708,2.083 us,3 B,,12,02,   IN packet,69 0C 71
1,FS,3104,3:00.118.712,14.250 us,21 B,,12,02,   DATA1 packet,4B 20 00 F0 0E 00 10 00 00 00 00 DC 02 FB FA 39 01 1B FD 04 7A
1,FS,3105,3:00.118.727,750 ns,1 B,,12,02,   ACK packet,D2
0,FS,3106,3:00.779.223,,,,,,Digital input,<Change on pins: 1; New Value = 0x1 (0001b)>
0,FS,3107,3:00.122.716,664.015.000 ms,18 B,,12,02,IN txn   [166 POLL],20 00 F1 0E 00 00 00 00 00 00 DC 02 FB FA 39 01 1B FD
1,FS,3108,3:00.122.716,659.999.583 ms,,,12,02,   [166 IN-NAK],
1,FS,3109,3:00.786.712,2.083 us,3 B,,12,02,   IN packet,69 0C 71
1,FS,3110,3:00.786.715,14.250 us,21 B,,12,02,   DATA0 packet,C3 20 00 F1 0E 00 00 00 00 00 00 DC 02 FB FA 39 01 1B FD FB 7A
1,FS,3111,3:00.786.731,750 ns,1 B,,12,02,   ACK packet,D2
0,FS,3112,3:00.790.720,132.005.583 ms,8 B,,12,02,IN txn   [33 POLL],03 20 2F 04 80 01 00 00
1,FS,3113,3:00.790.720,127.996.916 ms,,,12,02,   [33 IN-NAK],
1,FS,3114,3:00.922.713,2.083 us,3 B,,12,02,   IN packet,69 0C 71
1,FS,3115,3:00.922.716,7.416 us,11 B,,12,02,   DATA1 packet,4B 03 20 2F 04 80 01 00 00 50 7C
1,FS,3116,3:00.922.725,750 ns,1 B,,12,02,   ACK packet,D2
0,FS,3117,3:01.661.227,,,,,,Digital input,<Change on pins: 1; New Value = 0x0 (0000b)>
0,FS,3118,3:00.926.721,740.015.666 ms,18 B,,12,02,IN txn   [185 POLL],20 00 F2 0E 00 10 00 00 00 00 DC 02 FB FA 39 01 1B FD
1,FS,3119,3:00.926.721,736.000.166 ms,,,12,02,   [185 IN-NAK],
1,FS,3120,3:01.666.717,2.083 us,3 B,,12,02,   IN packet,69 0C 71
1,FS,3121,3:01.666.720,14.250 us,21 B,,12,02,   DATA0 packet,C3 20 00 F2 0E 00 10 00 00 00 00 DC 02 FB FA 39 01 1B FD 85 1B
1,FS,3122,3:01.666.736,750 ns,1 B,,12,02,   ACK packet,D2
0,FS,3123,3:02.069.229,,,,,,Digital input,<Change on pins: 1; New Value = 0x1 (0001b)>
0,FS,3124,3:01.670.725,404.013.833 ms,18 B,,12,02,IN txn   [101 POLL],20 00 F3 0E 00 00 00 00 00 00 DC 02 FB FA 39 01 1B FD
1,FS,3125,3:01.670.725,399.998.416 ms,,,12,02,   [101 IN-NAK],
1,FS,3126,3:02.074.719,2.083 us,3 B,,12,02,   IN packet,69 0C 71
1,FS,3127,3:02.074.722,14.250 us,21 B,,12,02,   DATA1 packet,4B 20 00 F3 0E 00 00 00 00 00 00 DC 02 FB FA 39 01 1B FD 7A 1B
1,FS,3128,3:02.074.738,750 ns,1 B,,12,02,   ACK packet,D2
0,FS,3129,3:02.591.231,,,,,,Digital input,<Change on pins: 1; New Value = 0x0 (0000b)>
0,FS,3130,3:02.078.727,520.014.583 ms,18 B,,12,02,IN txn   [130 POLL],20 00 F4 0E 00 10 00 00 00 00 DC 02 FB FA 39 01 1B FD
1,FS,3131,3:02.078.727,515.999.166 ms,,,12,02,   [130 IN-NAK],
1,FS,3132,3:02.598.722,2.083 us,3 B,,12,02,   IN packet,69 0C 71
1,FS,3133,3:02.598.725,14.250 us,21 B,,12,02,   DATA0 packet,C3 20 00 F4 0E 00 10 00 00 00 00 DC 02 FB FA 39 01 1B FD 06 B9
1,FS,3134,3:02.598.741,750 ns,1 B,,12,02,   ACK packet,D2
0,FS,3135,3:03.130.234,,,,,,Digital input,<Change on pins: 1; New Value = 0x1 (0001b)>
0,FS,3136,3:02.602.748,535.996.833 ms,18 B,,12,02,IN txn   [134 POLL],20 00 F5 0E 00 00 00 00 00 00 DC 02 FB FA 39 01 1B FD
1,FS,3137,3:02.602.748,531.981.333 ms,,,12,02,   [134 IN-NAK],
1,FS,3138,3:03.138.725,2.083 us,3 B,,12,02,   IN packet,69 0C 71
1,FS,3139,3:03.138.728,14.333 us,21 B,,12,02,   DATA1 packet,4B 20 00 F5 0E 00 00 00 00 00 00 DC 02 FB FA 39 01 1B FD F9 B9
1,FS,3140,3:03.138.744,750 ns,1 B,,12,02,   ACK packet,D2
0,FS,3141,3:03.805.237,,,,,,Digital input,<Change on pins: 1; New Value = 0x0 (0000b)>
0,FS,3142,3:03.142.748,668.000.416 ms,18 B,,12,02,IN txn   [167 POLL],20 00 F6 0E 00 10 00 00 00 00 DC 02 FB FA 39 01 1B FD
1,FS,3143,3:03.142.748,663.984.916 ms,,,12,02,   [167 IN-NAK],
1,FS,3144,3:03.810.729,2.083 us,3 B,,12,02,   IN packet,69 0C 71
1,FS,3145,3:03.810.732,14.250 us,21 B,,12,02,   DATA0 packet,C3 20 00 F6 0E 00 10 00 00 00 00 DC 02 FB FA 39 01 1B FD 87 D8
1,FS,3146,3:03.810.747,750 ns,1 B,,12,02,   ACK packet,D2
0,FS,3147,3:04.338.239,,,,,,Digital input,<Change on pins: 1; New Value = 0x1 (0001b)>
0,FS,3148,3:03.814.738,528.013.416 ms,18 B,,12,02,IN txn   [132 POLL],20 00 F7 0E 00 00 00 00 00 00 DC 02 FB FA 39 01 1B FD
1,FS,3149,3:03.814.738,523.997.916 ms,,,12,02,   [132 IN-NAK],
1,FS,3150,3:04.342.732,2.083 us,3 B,,12,02,   IN packet,69 0C 71
1,FS,3151,3:04.342.735,14.250 us,21 B,,12,02,   DATA1 packet,4B 20 00 F7 0E 00 00 00 00 00 00 DC 02 FB FA 39 01 1B FD 78 D8
1,FS,3152,3:04.342.750,750 ns,1 B,,12,02,   ACK packet,D2
0,FS,3153,3:04.947.242,,,,,,Digital input,<Change on pins: 1; New Value = 0x0 (0000b)>
0,FS,3154,3:04.346.740,608.014.583 ms,18 B,,12,02,IN txn   [152 POLL],20 00 F8 0E 00 10 00 00 00 00 DC 02 FB FA 39 01 1B FD
1,FS,3155,3:04.346.740,603.999.166 ms,,,12,02,   [152 IN-NAK],
1,FS,3156,3:04.954.735,2.083 us,3 B,,12,02,   IN packet,69 0C 71
1,FS,3157,3:04.954.738,14.250 us,21 B,,12,02,   DATA0 packet,C3 20 00 F8 0E 00 10 00 00 00 00 DC 02 FB FA 39 01 1B FD 03 BC
1,FS,3158,3:04.954.754,750 ns,1 B,,12,02,   ACK packet,D2
0,FS,3159,3:05.519.245,,,,,,Digital input,<Change on pins: 1; New Value = 0x1 (0001b)>
0,FS,3160,3:04.958.743,568.014.916 ms,18 B,,12,02,IN txn   [142 POLL],20 00 F9 0E 00 00 00 00 00 00 DC 02 FB FA 39 01 1B FD
1,FS,3161,3:04.958.743,563.999.333 ms,,,12,02,   [142 IN-NAK],
1,FS,3162,3:05.526.738,2.083 us,3 B,,12,02,   IN packet,69 0C 71
1,FS,3163,3:05.526.741,14.333 us,21 B,,12,02,   DATA1 packet,4B 20 00 F9 0E 00 00 00 00 00 00 DC 02 FB FA 39 01 1B FD FC BC
1,FS,3164,3:05.526.757,750 ns,1 B,,12,02,   ACK packet,D2
0,FS,3165,3:05.963.247,,,,,,Digital input,<Change on pins: 1; New Value = 0x0 (0000b)>
0,FS,3166,3:05.530.763,439.997.416 ms,18 B,,12,02,IN txn   [110 POLL],20 00 FA 0E 00 10 00 00 00 00 DC 02 FB FA 39 01 1B FD
1,FS,3167,3:05.530.763,435.982.000 ms,,,12,02,   [110 IN-NAK],
1,FS,3168,3:05.970.741,2.083 us,3 B,,12,02,   IN packet,69 0C 71
1,FS,3169,3:05.970.744,14.250 us,21 B,,12,02,   DATA0 packet,C3 20 00 FA 0E 00 10 00 00 00 00 DC 02 FB FA 39 01 1B FD 82 DD
1,FS,3170,3:05.970.759,750 ns,1 B,,12,02,   ACK packet,D2
0,FS,3171,3:06.954.252,,,,,,Digital input,<Change on pins: 1; New Value = 0x1 (0001b)>
0,FS,3172,3:05.974.748,988.017.083 ms,18 B,,12,02,IN txn   [247 POLL],20 00 FB 0E 00 00 00 00 00 00 DC 02 FB FA 39 01 1B FD
1,FS,3173,3:05.974.748,984.001.583 ms,,,12,02,   [247 IN-NAK],
1,FS,3174,3:06.962.746,2.083 us,3 B,,12,02,   IN packet,69 0C 71
1,FS,3175,3:06.962.749,14.250 us,21 B,,12,02,   DATA1 packet,4B 20 00 FB 0E 00 00 00 00 00 00 DC 02 FB FA 39 01 1B FD 7D DD
1,FS,3176,3:06.962.765,750 ns,1 B,,12,02,   ACK packet,D2
0,FS,3177,3:07.463.254,,,,,,Digital input,<Change on pins: 1; New Value = 0x0 (0000b)>
0,FS,3178,3:06.966.760,504.008.583 ms,18 B,,12,02,IN txn   [126 POLL],20 00 FC 0E 00 10 00 00 00 00 DC 02 FB FA 39 01 1B FD
1,FS,3179,3:06.966.760,499.992.833 ms,,,12,02,   [126 IN-NAK],
1,FS,3180,3:07.470.749,2.083 us,3 B,,12,02,   IN packet,69 0C 71
1,FS,3181,3:07.470.752,14.416 us,21 B,,12,02,   DATA0 packet,C3 20 00 FC 0E 00 10 00 00 00 00 DC 02 FB FA 39 01 1B FD 01 7F
1,FS,3182,3:07.470.768,750 ns,1 B,,12,02,   ACK packet,D2
0,FS,3183,3:07.868.256,,,,,,Digital input,<Change on pins: 1; New Value = 0x1 (0001b)>
0,FS,3184,3:07.474.757,396.013.750 ms,18 B,,12,02,IN txn   [99 POLL],20 00 FD 0E 00 00 00 00 00 00 DC 02 FB FA 39 01 1B FD
1,FS,3185,3:07.474.757,391.997.916 ms,,,12,02,   [99 IN-NAK],
1,FS,3186,3:07.870.751,2.083 us,3 B,,12,02,   IN packet,69 0C 71
1,FS,3187,3:07.870.754,14.500 us,21 B,,12,02,   DATA1 packet,4B 20 00 FD 0E 00 00 00 00 00 00 DC 02 FB FA 39 01 1B FD FE 7F
1,FS,3188,3:07.870.770,750 ns,1 B,,12,02,   ACK packet,D2
0,FS,3189,3:08.510.259,,,,,,Digital input,<Change on pins: 1; New Value = 0x0 (0000b)>
0,FS,3190,3:07.874.760,644.014.250 ms,18 B,,12,02,IN txn   [161 POLL],20 00 FE 0E 00 10 00 00 00 00 DC 02 FB FA 39 01 1B FD
1,FS,3191,3:07.874.760,639.998.666 ms,,,12,02,   [161 IN-NAK],
1,FS,3192,3:08.518.755,2.083 us,3 B,,12,02,   IN packet,69 0C 71
1,FS,3193,3:08.518.758,14.333 us,21 B,,12,02,   DATA0 packet,C3 20 00 FE 0E 00 10 00 00 00 00 DC 02 FB FA 39 01 1B FD 80 1E
1,FS,3194,3:08.518.773,750 ns,1 B,,12,02,   ACK packet,D2
0,FS,3195,3:09.236.262,,,,,,Digital input,<Change on pins: 1; New Value = 0x1 (0001b)>
0,FS,3196,3:08.522.762,720.015.833 ms,18 B,,12,02,IN txn   [180 POLL],20 00 FF 0E 00 00 00 00 00 00 DC 02 FB FA 39 01 1B FD
1,FS,3197,3:08.522.762,716.000.166 ms,,,12,02,   [180 IN-NAK],
1,FS,3198,3:09.242.759,2.083 us,3 B,,12,02,   IN packet,69 0C 71
1,FS,3199,3:09.242.762,14.416 us,21 B,,12,02,   DATA1 packet,4B 20 00 FF 0E 00 00 00 00 00 00 DC 02 FB FA 39 01 1B FD 7F 1E
1,FS,3200,3:09.242.778,750 ns,1 B,,12,02,   ACK packet,D2
0,FS,3201,3:10.065.266,,,,,,Digital input,<Change on pins: 1; New Value = 0x0 (0000b)>
0,FS,3202,3:09.246.766,828.016.166 ms,18 B,,12,02,IN txn   [207 POLL],20 00 01 0E 00 10 00 00 00 00 DC 02 FB FA 39 01 1B FD
1,FS,3203,3:09.246.766,824.000.750 ms,,,12,02,   [207 IN-NAK],
1,FS,3204,3:10.074.763,2.083 us,3 B,,12,02,   IN packet,69 0C 71
1,FS,3205,3:10.074.766,14.250 us,21 B,,12,02,   DATA0 packet,C3 20 00 01 0E 00 10 00 00 00 00 DC 02 FB FA 39 01 1B FD 81 AE
1,FS,3206,3:10.074.782,750 ns,1 B,,12,02,   ACK packet,D2
0,FS,3207,3:10.738.269,,,,,,Digital input,<Change on pins: 1; New Value = 0x1 (0001b)>
0,FS,3208,3:10.078.772,664.014.916 ms,18 B,,12,02,IN txn   [166 POLL],20 00 02 0E 00 00 00 00 00 00 DC 02 FB FA 39 01 1B FD
1,FS,3209,3:10.078.772,659.999.333 ms,,,12,02,   [166 IN-NAK],
1,FS,3210,3:10.742.767,2.083 us,3 B,,12,02,   IN packet,69 0C 71
1,FS,3211,3:10.742.770,14.416 us,21 B,,12,02,   DATA1 packet,4B 20 00 02 0E 00 00 00 00 00 00 DC 02 FB FA 39 01 1B FD FF CF
1,FS,3212,3:10.742.786,750 ns,1 B,,12,02,   ACK packet,D2
0,FS,3213,3:11.261.272,,,,,,Digital input,<Change on pins: 1; New Value = 0x0 (0000b)>
0,FS,3214,3:10.746.775,520.014.416 ms,18 B,,12,02,IN txn   [130 POLL],20 00 03 0E 00 10 00 00 00 00 DC 02 FB FA 39 01 1B FD
1,FS,3215,3:10.746.775,515.999.000 ms,,,12,02,   [130 IN-NAK],
1,FS,3216,3:11.266.770,2.083 us,3 B,,12,02,   IN packet,69 0C 71
1,FS,3217,3:11.266.773,14.250 us,21 B,,12,02,   DATA0 packet,C3 20 00 03 0E 00 10 00 00 00 00 DC 02 FB FA 39 01 1B FD 00 CF
1,FS,3218,3:11.266.788,750 ns,1 B,,12,02,   ACK packet,D2
0,FS,3219,3:12.085.276,,,,,,Digital input,<Change on pins: 1; New Value = 0x1 (0001b)>
0,FS,3220,3:11.270.778,820.016.166 ms,18 B,,12,02,IN txn   [205 POLL],20 00 04 0E 00 00 00 00 00 00 DC 02 FB FA 39 01 1B FD
1,FS,3221,3:11.270.778,816.000.666 ms,,,12,02,   [205 IN-NAK],
1,FS,3222,3:12.090.774,2.083 us,3 B,,12,02,   IN packet,69 0C 71
1,FS,3223,3:12.090.778,14.250 us,21 B,,12,02,   DATA1 packet,4B 20 00 04 0E 00 00 00 00 00 00 DC 02 FB FA 39 01 1B FD 7C 6D
1,FS,3224,3:12.090.793,750 ns,1 B,,12,02,   ACK packet,D2
0,FS,3225,3:13.038.280,,,,,,Digital input,<Change on pins: 1; New Value = 0x0 (0000b)>
0,FS,3226,3:12.094.782,952.016.833 ms,18 B,,12,02,IN txn   [238 POLL],20 00 05 0E 00 10 00 00 00 00 DC 02 FB FA 39 01 1B FD
1,FS,3227,3:12.094.782,948.001.333 ms,,,12,02,   [238 IN-NAK],
1,FS,3228,3:13.046.780,2.083 us,3 B,,12,02,   IN packet,69 0C 71
1,FS,3229,3:13.046.783,14.250 us,21 B,,12,02,   DATA0 packet,C3 20 00 05 0E 00 10 00 00 00 00 DC 02 FB FA 39 01 1B FD 83 6D
1,FS,3230,3:13.046.798,750 ns,1 B,,12,02,   ACK packet,D2
0,FS,3231,3:13.766.284,,,,,,Digital input,<Change on pins: 1; New Value = 0x1 (0001b)>
0,FS,3232,3:13.050.787,724.015.666 ms,18 B,,12,02,IN txn   [181 POLL],20 00 06 0E 00 00 00 00 00 00 DC 02 FB FA 39 01 1B FD
1,FS,3233,3:13.050.787,720.000.166 ms,,,12,02,   [181 IN-NAK],
1,FS,3234,3:13.774.784,2.083 us,3 B,,12,02,   IN packet,69 0C 71
1,FS,3235,3:13.774.787,14.333 us,21 B,,12,02,   DATA1 packet,4B 20 00 06 0E 00 00 00 00 00 00 DC 02 FB FA 39 01 1B FD FD 0C
1,FS,3236,3:13.774.802,750 ns,1 B,,12,02,   ACK packet,D2
0,FS,3237,3:14.244.286,,,,,,Digital input,<Change on pins: 1; New Value = 0x0 (0000b)>
0,FS,3238,3:13.778.784,472.022.000 ms,18 B,,12,02,IN txn   [118 POLL],20 00 07 0E 00 10 00 00 00 00 DC 02 FB FA 39 01 1B FD
1,FS,3239,3:13.778.784,468.006.500 ms,,,12,02,   [118 IN-NAK],
1,FS,3240,3:14.250.786,2.083 us,3 B,,12,02,   IN packet,69 0C 71
1,FS,3241,3:14.250.789,14.250 us,21 B,,12,02,   DATA0 packet,C3 20 00 07 0E 00 10 00 00 00 00 DC 02 FB FA 39 01 1B FD 02 0C
1,FS,3242,3:14.250.805,750 ns,1 B,,12,02,   ACK packet,D2
0,FS,3243,3:15.145.290,,,,,,Digital input,<Change on pins: 1; New Value = 0x1 (0001b)>
0,FS,3244,3:14.254.794,900.016.500 ms,18 B,,12,02,IN txn   [225 POLL],20 00 08 0E 00 00 00 00 00 00 DC 02 FB FA 39 01 1B FD
1,FS,3245,3:14.254.794,896.001.083 ms,,,12,02,   [225 IN-NAK],
1,FS,3246,3:15.154.791,2.083 us,3 B,,12,02,   IN packet,69 0C 71
